Activity,Site_Number,Account_Name,FE,SSO,Lat,Lon,Dup Count,NewLat,NewLon
1-227438717896,435637,REGENCY MRI PC,Ruocco,212000721,#N/A,#N/A,0,#N/A,#N/A
1-227012880026,435637,REGENCY MRI PC,Brecher,212010282,#N/A,#N/A,1,#N/A,#N/A
1-227012880026,435637,REGENCY MRI PC,Brecher,212010282,#N/A,#N/A,2,#N/A,#N/A
1-229797044671,435637,REGENCY MRI PC,Cabezas,212022376,#N/A,#N/A,3,#N/A,#N/A
1-229048467708,435637,REGENCY MRI PC,Bonello,212462453,#N/A,#N/A,4,#N/A,#N/A
1-227520505726,435637,REGENCY MRI PC,Castro,212589148,#N/A,#N/A,5,#N/A,#N/A
1-229520863221,435637,REGENCY MRI PC,Castro,212589148,#N/A,#N/A,6,#N/A,#N/A
1-230790859446,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,0,40.778232,-73.9583919
1-228609862410,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,1,40.77814006,-73.95755043
1-228609862410,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,2,40.77794877,-73.9574826
1-232025474196,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,3,40.777834,-73.95825078
1-227714648172,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,4,40.77790127,-73.9591487
1-232877186165,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,5,40.77828873,-73.95935082
1-229820988565,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,6,40.77842403,-73.95867132
1-229820988565,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,7,40.77838278,-73.95773491
1-229820988565,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,8,40.7782029,-73.95740254
1-228269466294,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,9,40.77804977,-73.95797978
1-233645914735,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,10,40.77826419,-73.95893592
1-233645914735,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,11,40.77843289,-73.95939189
1-234155542201,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,12,40.77860077,-73.95892847
1-230424173390,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,13,40.77861349,-73.95797173
1-230424173390,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,14,40.77845935,-73.95740129
1-231997828811,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,15,40.77848006,-73.95774161
1-227719557934,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,16,40.77844047,-73.9586798
1-227719557934,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,17,40.77857697,-73.9593533
1-227719557934,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,18,40.77876406,-73.95914289
1-229077517501,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,19,40.77882974,-73.95824202
1-229077517501,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,20,40.77891362,-73.95747895
1-227570647086,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,21,40.77872245,-73.95755524
1-228411878442,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,22,40.77863201,-73.95840075
1-233771404051,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,23,40.77872543,-73.95923812
1-234068903214,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Prantil,212001162,40.778032,-73.9555919,24,40.77891684,-73.95929748
1-226901221816,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Brecher,212010282,40.778032,-73.9555919,25,40.77923024,-73.95852425
1-228511598746,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Brecher,212010282,40.778032,-73.9555919,26,40.77916138,-73.95762934
1-228603745138,436994,NEW YORK MEDICAL IMAGING ASSOCIATES PC,Brecher,212010282,40.778032,-73.9555919,27,40.77897357,-73.95743552
