Address,Account #,Account Name,Title Owner Account #,Physical Loc Site #,Lat ,Lon
"25 WEST 2OTH ST - SUITE 1107, New York, NY 10011",1003,ATLANTIS WORLDWIDE LLC,1-1WCVQSZB,542738,,
"125 PARK AVE STE 2615, New York, NY 10017",1003,ATLANTIS WORLDWIDE LLC,1003,542739,,
"161 MADISON AVE RM 9SW, New York, NY 10016",1005113,ACCORD MEDICAL ASSOCIATES,1005113,1287096,,
"630 W 168TH ST, New York, NY 10032",1008439,COLUMBIA UNIVERSITY,1008439,1690770,,
"177 FORT WASHINGTON AVE, New York, NY 10032",1014624,COLUMBIA UNIVERSITY MEDICAL CENTER MILLSTEIN HOSPITAL BUILDING,1014624,2095100,,
"1 GUSTAVE L LEVY PL, New York, NY 10029",1018587,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1-1NFW5,4297478,,
"160 E 34TH ST, New York, NY 10016",1025095,NYUMC CANCER CENTER,1-1NFW5,2391597,,
"70 E 90TH ST, New York, NY 10128",1031903,MATERNAL FETAL MEDICINE PLLC,1031903,1395139,,
"780 PARK AVE, New York, NY 10021",1041580,JANA KLAUER MD,1041580,1520279,,
"317 E 34TH ST STE 101, New York, NY 10016",1062062,MURRAY HILL MEDICAL GROUP PC,1062062,1358774,,
"248 W 26TH ST, New York, NY 10001",1066140,WEST CHELSEA VETERINARY HOSPITAL,1066140,1690607,,
"51 W 51ST ST, New York, NY 10019",1080544,CLIFTON CENTREVILLE ANIMAL CLINIC,1080544,1500416,,
"1430 2ND AVE RM 101, New York, NY 10021",1111603,PEDRO SEGARRA MD,1111603,1399731,,
"408 E 76TH ST, New York, NY 10021",1118982,MDD REALTY,1-1NFW5,3166069,,
"325 W 15TH ST, New York, NY 10011",1119051,APTIUM W NEW YORK INC,129944,1793531,,
"424 E 92ND ST, New York, NY 10128",1119883,ASPCA ANIMAL HOSPITAL,1119883,1404895,,
"217 GRAND ST, New York, NY 10013",1119913,KENNETH TAM MD,1119913,1703099,,
"1 W 15TH ST, New York, NY 10011",1131785,VCA FIFTH AVENUE VET SPECIALISTS,966420,1584976,,
"213 MADISON AVE STE 1A, New York, NY 10016",1136512,ROSH MATERNAL FETAL MEDICINE PLLC,1136512,1616025,,
"1120 PARK AVE, New York, NY 10128",1147243,HOWARD SCHIFF MD,1147243,1809847,,
"316 E 30TH ST FL 2, New York, NY 10016",1150815,CONCORDE MEDICAL GROUP,1150815,1548115,,
"240 MADISON AVE, New York, NY 10016",1151447,MADISON AVENUE IMAGING LLC,306314,1424811,,
"215 LEXINGTON AVE  20TH FL, New York, NY 10016",1161275,JED C KAMINETSKY MD PC,1161275,1433707,,
"65 E 96TH ST, New York, NY 10128",1166022,ALEX S TEPPER MD,1166022,1904267,,
"1245 MADISON AVE, New York, NY 10128",1166486,CARNEGIE HILL IMAGING FOR WOMEN PLLC,1166486,1688778,,
"407 E 70TH ST, New York, NY 10021",1169300,LAWRENCE INRA MD,1169300,1496130,,
"161 FORT WASHINGTON AVE, New York, NY 10032",1186147,NEW YORK PRESBYTERIAN HOSPITAL,1728069,1482201,,
"400 E 66TH ST, New York, NY 10065",1204790,MANHATTAN DIAGNOSTIC RADIOLOGY,306314,1947085,,
"300 E 56TH ST, New York, NY 10022",1207652,MANHATTAN SPINE & SPORTS MEDICINE,1207652,1927796,,
"150 E 32ND ST, New York, NY 10016",1210631,NYU  UROLOGY ASSOCIATES,318083,1683479,,
"16 E 60TH ST STE 350, New York, NY 10022",1220030,COLUMBIA DOCTORS MIDTOWN,1220030,1744460,,
"275 7TH AVE, New York, NY 10001",1222224,UNITE HEALTH CENTER,1038509,1541647,,
